segment,token,pct_a,pct_b,delta,n_a,n_b
<30_vs_30+,same,0.001885369532428356,0.0028681934726869757,-0.0009828239402586197,328,1469
<30_vs_30+,day,0.003393665158371041,0.00243361870409804,0.0009600464542730007,328,1469
<30_vs_30+,together,0.0013197586726998493,0.0022597887966624656,-0.0009400301239626163,328,1469
<30_vs_30+,less,0.0026395173453996985,0.003563513102429273,-0.0009239957570295744,328,1469
<30_vs_30+,last,0.0016968325791855204,0.0007822345834600843,0.0009145979957254361,328,1469
<30_vs_30+,around,0.0016968325791855204,0.0007822345834600843,0.0009145979957254361,328,1469
<30_vs_30+,sustainability,0.0,0.000912607014036765,-0.000912607014036765,328,1469
<30_vs_30+,waste,0.0,0.000912607014036765,-0.000912607014036765,328,1469
<30_vs_30+,giving,0.0015082956259426848,0.00060840467602451,0.0008998909499181748,328,1469
<30_vs_30+,one,0.0013197586726998493,0.0022163313198035723,-0.000896572647103723,328,1469
<30_vs_30+,food,0.001885369532428356,0.0009995219677545522,0.0008858475646738037,328,1469
<30_vs_30+,did,0.001885369532428356,0.0009995219677545522,0.0008858475646738037,328,1469
<30_vs_30+,plan,0.0003770739064856712,0.0012602668289079136,-0.0008831929224222424,328,1469
<30_vs_30+,way,0.0022624434389140274,0.0031289383338403373,-0.0008664948949263099,328,1469
<30_vs_30+,here,0.006598793363499246,0.005736386945373951,0.0008624064181252944,328,1469
<30_vs_30+,wish,0.0015082956259426848,0.0006518621528834035,0.0008564334730592813,328,1469
<30_vs_30+,boyfriend,0.000942684766214178,8.691495371778715e-05,0.0008557698124963908,328,1469
<30_vs_30+,only,0.0013197586726998493,0.0021728738429446785,-0.0008531151702448293,328,1469
<30_vs_30+,world,0.00471342383107089,0.003867715440441528,0.0008457083906293615,328,1469
<30_vs_30+,can't,0.0013197586726998493,0.0004780322454478293,0.0008417264272520199,328,1469
<30_vs_30+,etc,0.0003770739064856712,0.00121680935204902,-0.0008397354455633489,328,1469
<30_vs_30+,more,0.013951734539969835,0.014775542132023815,-0.0008238075920539798,328,1469
<30_vs_30+,moral,0.000942684766214178,0.00013037243057668072,0.0008123123356374973,328,1469
<30_vs_30+,wear,0.0024509803921568627,0.0016513841206379557,0.000799596271518907,328,1469
<30_vs_30+,experience,0.003205128205128205,0.00243361870409804,0.0007715095010301649,328,1469
<30_vs_30+,maybe,0.0013197586726998493,0.0020859588892268915,-0.0007662002165270423,328,1469
<30_vs_30+,all,0.008107088989441931,0.007344313589153014,0.0007627754002889177,328,1469
